Vehicle ID;O;D;Travel time
4.0;B1B_0;MM1_0;1501
4.1;B1B_0;MM1_0;1507
4.2;B1B_0;MM1_0;1509
4.3;B1B_0;:M_0_0;1512
4.4;B1B_0;MM1_0;1517
4.5;B1B_0;MM1_0;1521
4.6;B1B_0;MM1_0;1523
4.7;B1B_0;MM1_0;1529
4.8;B1B_0;MM1_0;1532
4.9;B1B_0;MM1_0;1536
4.10;B1B_0;MM1_0;1541
4.11;B1B_0;MM1_0;1543
4.12;B1B_0;:M_0_0;1546
4.13;B1B_0;MM1_0;1551
4.14;B1B_0;MM1_0;1553
4.15;B1B_0;:M_0_0;1555
4.16;B1B_0;:M_0_0;1562
4.17;B1B_0;MM1_0;1565
4.18;B1B_0;MM1_0;1568
4.19;B1B_0;MM1_0;1573
4.20;B1B_0;:M_0_0;1575
4.21;B1B_0;MM1_0;1579
4.22;B1B_0;MM1_0;1585
4.23;B1B_0;MM1_0;1587
4.24;B1B_0;:M_0_0;1589
4.25;B1B_0;MM1_0;1595
2.0;A1A_0;MM1_0;1700
4.26;B1B_0;MM1_0;1604
4.27;B1B_0;:M_0_0;1607
4.28;B1B_0;MM1_0;1614
2.1;A1A_0;MM1_0;1721
4.29;B1B_0;:M_0_0;1625
4.30;B1B_0;MM1_0;1627
4.31;B1B_0;MM1_0;1632
2.2;A1A_0;MM1_0;1743
4.32;B1B_0;:M_0_0;1642
4.33;B1B_0;:M_0_0;1644
4.34;B1B_0;:M_0_0;1651
4.35;B1B_0;MM1_0;1654
2.3;A1A_0;MM1_0;1773
4.36;B1B_0;MM1_0;1665
4.37;B1B_0;MM1_0;1671
1.0;A1A_0;:L_3_0;1822
2.4;A1A_0;MM1_0;1786
4.38;B1B_0;MM1_0;1680
1.1;A1A_0;:L_3_0;1831
4.39;B1B_0;MM1_0;1684
1.2;A1A_0;:L_3_0;1838
4.40;B1B_0;MM1_0;1689
2.5;A1A_0;MM1_0;1807
1.3;A1A_0;:L_3_0;1844
4.41;B1B_0;MM1_0;1698
1.4;A1A_0;:L_3_0;1852
4.42;B1B_0;MM1_0;1703
4.43;B1B_0;MM1_0;1708
1.5;A1A_0;:L_3_0;1858
2.6;A1A_0;MM1_0;1829
1.6;A1A_0;:L_3_0;1864
4.44;B1B_0;:M_0_0;1718
4.45;B1B_0;MM1_0;1720
4.46;B1B_0;MM1_0;1726
1.7;A1A_0;:L_3_0;1875
1.8;A1A_0;:L_3_0;1879
2.7;A1A_0;MM1_0;1849
4.47;B1B_0;MM1_0;1736
1.9;A1A_0;:L_3_0;1887
4.48;B1B_0;:M_0_0;1739
4.49;B1B_0;:M_0_0;1745
1.10;A1A_0;:L_3_0;1894
2.8;A1A_0;MM1_0;1870
1.11;A1A_0;:L_3_0;1898
4.50;B1B_0;MM1_0;1754
1.12;A1A_0;:L_3_0;1904
4.51;B1B_0;MM1_0;1757
1.13;A1A_0;:L_3_0;1906
4.52;B1B_0;MM1_0;1762
2.9;A1A_0;MM1_0;1889
1.14;A1A_0;:L_3_0;1915
4.53;B1B_0;:M_0_0;1772
4.54;B1B_0;:M_0_0;1776
1.15;A1A_0;:L_3_0;1922
4.55;B1B_0;MM1_0;1781
1.16;A1A_0;:L_3_0;1931
2.10;A1A_0;MM1_0;1911
4.56;B1B_0;MM1_0;1791
1.17;A1A_0;:L_3_0;1938
4.57;B1B_0;MM1_0;1793
1.18;A1A_0;:L_3_0;1945
4.58;B1B_0;MM1_0;1799
2.11;A1A_0;MM1_0;1932
1.19;A1A_0;:L_3_0;1949
4.59;B1B_0;MM1_0;1810
1.20;A1A_0;:L_3_0;1956
4.60;B1B_0;MM1_0;1812
1.21;A1A_0;:L_3_0;1962
4.61;B1B_0;MM1_0;1819
2.12;A1A_0;:M_0_0;1955
1.22;A1A_0;:L_3_0;1969
4.62;B1B_0;:M_0_0;1830
4.63;B1B_0;:M_0_0;1832
1.23;A1A_0;:L_3_0;1976
4.64;B1B_0;MM1_0;1837
1.24;A1A_0;:L_3_0;1983
4.65;B1B_0;:M_0_0;1840
3.0;B1B_0;:L_3_0;2100
2.13;A1A_0;MM1_0;1983
1.25;A1A_0;:L_3_0;1994
4.66;B1B_0;MM1_0;1851
3.1;B1B_0;:L_3_0;2109
4.67;B1B_0;MM1_0;1855
1.26;A1A_0;:L_3_0;2007
4.68;B1B_0;:M_0_0;1858
2.14;A1A_0;MM1_0;2003
3.2;B1B_0;:L_3_0;2122
4.69;B1B_0;MM1_0;1868
1.27;A1A_0;:L_3_0;2018
4.70;B1B_0;MM1_0;1875
3.3;B1B_0;:L_3_0;2129
4.71;B1B_0;MM1_0;1876
3.4;B1B_0;:L_3_0;2131
2.15;A1A_0;:M_0_0;2025
1.28;A1A_0;:L_3_0;2037
3.5;B1B_0;:L_3_0;2139
4.72;B1B_0;MM1_0;1889
1.29;A1A_0;:L_3_0;2045
4.73;B1B_0;MM1_0;1895
3.6;B1B_0;:L_3_0;2149
4.74;B1B_0;:M_0_0;1896
1.30;A1A_0;:L_3_0;2057
2.16;A1A_0;MM1_0;2047
3.7;B1B_0;:L_3_0;2156
4.75;B1B_0;MM1_0;1907
3.8;B1B_0;:L_3_0;2160
4.76;B1B_0;MM1_0;1912
1.31;A1A_0;:L_3_0;2073
4.77;B1B_0;MM1_0;1914
3.9;B1B_0;:L_3_0;2166
2.17;A1A_0;MM1_0;2067
1.32;A1A_0;:L_3_0;2085
4.78;B1B_0;MM1_0;1924
3.10;B1B_0;:L_3_0;2176
4.79;B1B_0;MM1_0;1930
3.11;B1B_0;:L_3_0;2176
4.80;B1B_0;:M_0_0;1931
1.33;A1A_0;:L_3_0;2099
2.18;A1A_0;:M_0_0;2087
3.12;B1B_0;:L_3_0;2187
4.81;B1B_0;:M_0_0;1942
1.34;A1A_0;:L_3_0;2112
4.82;B1B_0;MM1_0;1948
3.13;B1B_0;:L_3_0;2194
2.19;A1A_0;:M_0_0;2101
3.14;B1B_0;:L_3_0;2197
4.83;B1B_0;MM1_0;1957
1.35;A1A_0;:L_3_0;2129
4.84;B1B_0;:M_0_0;1958
3.15;B1B_0;:L_3_0;2206
4.85;B1B_0;MM1_0;1963
1.36;A1A_0;:L_3_0;2140
2.20;A1A_0;MM1_0;2121
3.16;B1B_0;:L_3_0;2216
4.86;B1B_0;:M_0_0;1972
1.37;A1A_0;:L_3_0;2149
4.87;B1B_0;:M_0_0;1975
3.17;B1B_0;:L_3_0;2224
4.88;B1B_0;MM1_0;1979
2.21;A1A_0;:M_0_0;2140
1.38;A1A_0;:L_3_0;2163
4.89;B1B_0;:M_0_0;1988
3.18;B1B_0;:L_3_0;2237
4.90;B1B_0;:M_0_0;1991
3.19;B1B_0;:L_3_0;2238
4.91;B1B_0;MM1_0;1997
1.39;A1A_0;:L_3_0;2180
2.22;A1A_0;MM1_0;2160
3.20;B1B_0;:L_3_0;2248
4.92;B1B_0;:M_0_0;2005
1.40;A1A_0;:L_3_0;2193
4.93;B1B_0;MM1_0;2008
3.21;B1B_0;:L_3_0;2257
4.94;B1B_0;MM1_0;2013
3.22;B1B_0;:L_3_0;2260
2.23;A1A_0;MM1_0;2180
4.95;B1B_0;MM1_0;2023
1.41;A1A_0;:L_3_0;2211
3.23;B1B_0;:L_3_0;2267
4.96;B1B_0;MM1_0;2027
1.42;A1A_0;:L_3_0;2223
2.24;A1A_0;MM1_0;2194
3.24;B1B_0;:L_3_0;2278
4.97;B1B_0;MM1_0;2042
1.43;A1A_0;:L_3_0;2232
4.98;B1B_0;MM1_0;2044
3.25;B1B_0;:L_3_0;2287
4.99;B1B_0;MM1_0;2048
1.44;A1A_0;:L_3_0;2244
4.100;B1B_0;MM1_0;2052
3.26;B1B_0;:L_3_0;2296
2.25;A1A_0;:M_0_0;2224
3.27;B1B_0;:L_3_0;2294
4.101;B1B_0;MM1_0;2060
1.45;A1A_0;:L_3_0;2259
4.102;B1B_0;MM1_0;2062
3.28;B1B_0;:L_3_0;2307
2.26;A1A_0;MM1_0;2236
1.46;A1A_0;:L_3_0;2271
4.103;B1B_0;MM1_0;2074
3.29;B1B_0;:L_3_0;2314
4.104;B1B_0;:M_0_0;2076
3.30;B1B_0;:L_3_0;2317
4.105;B1B_0;MM1_0;2077
1.47;A1A_0;:L_3_0;2288
2.27;A1A_0;:M_0_0;2256
